9;"Histoire d’Amyntor et de Thérèse, traduite de l’anglois";;
"SALVERTE, Aglaé";"Deslacs d’Arcambal, dame Garet de Fleurieu, puis dame Baconnière de Stella, histoire anglaise, par Aglaé D... F.";;
"SALVERTE, Anne-Joseph-Eusèbe Baconnière de";"Un pot sans couvercle et rien dedans ou les mystères du souterrain de la nie de la lune, histoire merveilleuse et véritable, traduite du français ou langue vulgaire par Louis Randol";;
"SANCHAMAU, J.";"-B. L’observateur sentimental ou correspondance anecdotique, politique, pittoresque et satyrique entre Mohamed Saady et quelques-uns de ses amis, ayant sur-tout pour objet les événements et les mœurs de nos jours, recueillie et publiée par S.......u, ex-professeur d’une ci-devant Ecole Royale- Mili taire, et des Ecoles centrales";;
"SANCHAMAU, J. -B.";"Zephyre ou le berceau de Flore, roman imité du grec par S.....";;
"SANCY, abbé de";"Le danger de la satire ou la vie de Nicolo Franco, poete satirique italien";;
"SANCY, madame de";"Alphonse d’Armoncourl ou la belle-mère";;
"SANDRAS DE COURTILZ, Catien de";"Mémoires de monsieur de Bordeaux, intendant des finances, par M. G.D.C.";;
"SAPT, abbé de";"L’ami du prince et de la patrie ou le bon citoyen par M. Desapt";;
"SAURIN, Bernard-Joseph";"Mirza et Fatmé, conte indien traduit de l’arabe";;
"SAUTREAU DE MARSY, Claude-Sixte";"Tablettes d’un curieux ou variétés historiques, littéraires et morales";;
"SAVARY, Claude t?";"Les amours d’Anas-Eloujoud et de Ouardi, conte traduit de l’arabe par M. Savary, ouvrage posthume";;
"SAVIN";"Les tableaux, suivis de l’histoire de mademoiselle de Syane et du comte de Marcy";;
"SAVIN";"Adélaïde ou l’amour et le repentir, anecdote volée par M. D.M.";;
"SAVIN";"Œuvres de monsieur de Montreille";;
"SCHEL, Alexandre de";"Lettres et aventures d’Alexandre de Schell, suivies de son testament & de quelques traductions de ses ouvrages";;
"SCHÔNAICH, Christoph Otto, Freyherr von";"Arminius ou la Germanie délivrée, poeme héroïque, par le baron de Schonaich, avec une préface historique & critique du professeur Gottsched de Léipsik & de deux lettres de M. de Voltaire, traduit sur la 3me édition allemande, par M. E*, dédié au roi de Danemarck";;
"SCHULZ, Joachim Christoph Friedrich";"Leopoldine ou les enfans perdus et retrouvés, traduit de l’allemand de F. Schulz";;
"SCHULZ, Joachim Christoph Friedrich";"Schultz traduit de l’allemand d’après la nouvelle édition";;
"scrits turcs, arabes et persans de la Bibliothèque du Roi, par M Cardonne, secrétaire-interprète du Roi pour les langues orientales à la Marine et à la Bibliothèque de S.M. & professeur en langue arabe au Collège royal";;;
"SEALLY, John";"Le favori de la fortune";;
"SEALLY, John";"Les amours d’Elmire et Calisto ou la fatale succession, traduits (sic) de l’anglois par C.H. Nirel L.M.";;
"SEALLY, John";"Clémentine ou le legs fatal, par John Seally, traduit de l’anglais par Perrine Perruchot, omé de trois gravures";;
"SÊGUIER DE SAINT-BRISSON";"Ariste ou les charmes de l’honnêteté par Séguier de Saint-Brisson";;
"SÉGUR, Alexandre-Joseph-Pierre, vicomte de";"Correspondance secrette entre Ninon de Lenclos, le marquis de Villarceaux et madame de M.......";;
"SÉGUR, Alexandre-Joseph-Pierre, vicomte de";"La femme jalouse";;
"SELIS, Nicolas-Joseph";"Relation de la maladie, de la confession, de la fin de M. de Voltaire et de ce qui s’ensuivit, par moi, Joseph Dubois";;
"SËLIS, Nicolas-Joseph";"Lettres écrites de la Trappe par un novice, mises au jour par M***";;
"SELLIER DE MORANVILLE";"Les deux amis ou le comte de Méralbi, par M. Sellier de Moranville, officier-major dans le régiment de Berry, infanterie";;
"SÉNAC DE MEI LH AN, Gabriel";"L’émigré, publié par M. de Meilhan, ci-devant intendant du pays d’Aunis, de Provence, Avignon et du Hainaut, et intendant-général de la guerre et des armées du roi de France, etc. etc.";;
"SÉNAC DE MEILHAN, Gabriel";"Les deux cousins, histoire véritable";;
"SÉNAC DE MEILHAN, Gabriel";"Mémoires d’Anne de Gonzagues, princesse Palatine";;
"SENEBIER, Jean";"Contes moraux";;
"SERENT, J.-R.";"Sébastien de * Bometin et Monzonine, histoire genevoise";;
"SERIEYS, Antoine";"Le martyr de la liberté";;
"SERVIEZ, le général Emmanuel-Gervais Roergas de";"Les prémices d’Annette, par M. de S..., Cape. d’infant.";;
"SHERIDAN, Frances Chamberlaine, Mrs Thomas";"Mémoires pour servir à l’histoire de la vertu, extraits du journal d’une jeune dame";;
"SHERIDAN, Frances Chamberlaine, Mrs Thomas";"Lettres d’elle et de lui par une dame de la cour qui n’est pas * d’une académie";;
"SHERIDAN, Frances Chamberlaine, Mrs Thomas";"Mémoires pour servir à l’histoire de la vertu, extraits du journal (sic) d’une jeune dame";;
"SHERIDAN, Frances Chamberlaine, Mrs Thomas";"Nourjahad, histoire orientale, traduite de l’anglois";;
"SHERIDAN, Frances Chamberlaine, Mrs Thomas";"Mémoires de Miss Sidney Bidulph, extraits de son journal et traduits de l’anglois";;
"SHERIDAN, Frances Chamberlaine, Mrs Thomas";"La vie est un songe, historiette orientale, traduite du persan";;
"SHERIDAN, William";"Saint-Clair et Stéphanie ou l’isle déserte, par W. Sheridan, membre du parlement d’Angleterre, traduit de l’anglais par J.L. M***";;
"SHERIDAN, William";"Lismor ou le château de Clostern, par W. Shéridan, traduit de l'anglais sur la 4e édition, par J.B.M. D....Y";;
"SICKELMORE, Richard";"Edgar ou le pouvoir du remords, par R. Sickclmorc, traduit de l’anglais par T.P. Bertin";;
"SIRET, PierTe-Louis";"L’homme au latin ou la destinée des savans, histoire sans vraisemblance";;
"SMITH, Charlotte Tumer, Mrs";"Les promenades champêtres, dialogues à l’usage des jeunes personnes, traduits de l’anglois de Charlotte Smith";;
"SMITH, Charlotte Tumer, Mrs";"Le jeune philosophe, traduit de l’anglais de Charlotte Smith";;
"SMITH, Charlotte Tumer, Mrs";"Roland ou l’héritier vertueux, histoire en cinq volumes par Charlotte Smith, traduite de l’anglais par le citoyen M....";;
"SMITH, Charlotte Turner, Mrs";"Morville Célestine ou la victime des préjugés par Charlotte Smith, traduit de l’anglais sur la seconde édition, par la citoyenne R.....";;
"SMITH, Charlotte Turner, Mrs";"Montalbert et Rosalie, traduit de l’anglais de Charlotte Smith";;
"SMITH, Charlotte Turner, Mrs";"Ethelinde ou la recluse du lac, par Charlotte Smith, traduit de l’anglais par M. de la Montagne, auteur de plusieurs ouvrages dramatiques";;
"SMITH, Charlotte Turner, Mrs trad.par?";"L orpheline du château ou Emmeline, par Charlotte Smith, traduit de l’anglois sur la dernière édition";;
"SMITH, Charlotte Turner, Mrs trad.par?";"Emmcline ou l’orpheline du château, traduit de l’anglois";;
"SMITH, Charlotte Turner, Mrs trad.par?";"Desmond ou l’amant philanthrope, traduit de l’anglais de Charlotte Smith par L.C.D....";;
"SMITH, John";"Poèmes d’Ossian et de quelques autres bardes, pour servir de suite à TOsstan de Le Tourneur";;
"SMOLLETT, Tobias";"Histoire et avantures de Sir Williams Pickle, ouvrage traduit de l’anglois par l’auteur des Moeurs";;
"SMOLLETT, Tobias";"Fathom et Mclvil, par Smollet (sic), auteur de Roderic Random, de Pêrigrine Pickle, et continuateur de VHistoire d’Angleterre d’Hun,e, traduit de l’anglais sur la quinzième édition, avec figures";;
"SMOLLETT, Tobias";"Aventures de Roderik Random, traduites de l’anglois de Fielding";;
"SMOLLETT, Tobias";"Melvile, roman traduit de Smollett par David de Saint-Georges";;
"SMYTHIES, miss";"Les frères ou histoire de miss Osmond, traduite de l’anglois par M. Depuisieux";;
"SMYTHIES, miss";"Lucy Wellers, histoire traduite de l’anglois";;
"SMYTHIES, miss";"Le coche, traduit de l’anglois par M.D.L.G.";;
"SOAVE, Francesco";"Contes moraux à l’usage de la jeunesse, traduits de l’italien de François Soave par M. Simon D.M. de l’Académie des arcades de Rome &c. &c.";;
"SOAVE, Francesco";"Les veillées de Cayenne, par un déporté";;
"SOLLIER, Pierre";"Manuel des fous ou le grand festin de l’Elisée, par Pierre Sollier";;
"Sophie ou le triomphe des grâces sur la beauté, imitation de";;;
"SOUZA, Adélai’de-Marie-Émilie Filleul, comtesse de Flahaut, puis marquise de";"Adèle de Sénange ou lettres de lord Sydenham";;
"SOUZA, Adélaïde-Marie-Emilie, comtesse de Flahaut, puis marquise de";"Emilie et Alphonse ou danger de se livrer â ses premières impressions, par l’auteur d’Adèle de Sénange";;
"SPENCER, lady Caroline";"Adelina ou la fille généreuse, traduit de l’anglais par D.L.L.";;
"SPIESS, Christian Heinrich";"Le petit Pierre ou aventures de Rodolphe de Westerbourg, tra duit de l’allemand";;
"SPIESS, Christian Heinrich";"Les gnomes ou les esprits des montagnes, histoire véri table par Monsieur Spiess";;
"SPIESS, Christian Heinrich";"Pètriilon ou le petit bonhomme Pierre, histoire de revenans puisée dans les annales du XIIIme siècle, traduit de l’allemand de Mr. Spiess par le traducteur du Marchand de souricières et des Gnomes";;
"SPIESS, Christian Heinrich";"Le marchand de souricières et d’affinoirs, histoire très- extraordinaire et cependant très-naturelle, traduit de l’allemand de Mr. Spiess";;
"SPIESS, Christian Heinrich";"Les chevaliers du lion, histoire du douzième siècle, d’après l’allemand, par M.R. de S1 Ch...";;
"SPIESS, Christian Heinrich";"Les esprits de la montagne ou Annette et Frédéric, histoire véritable traduite de l’allemand";;
"STAËL-HOLSTEIN, Anne-Louise-Germaine";"Necker, baronne de Zulma, fragment d’un ougrage (sic) par Mad. la Baronne St*** de H*******";;
"STAEL-HOLSTEIN, Anne-Louise-Germaine Necker, baronne de";"Recueil de morceaux détachés par Mad- la Bne- Staël de Holstein";;
"STANISLAS I, roi de Pologne";"Entretien d’un European (sic) avec un insulaire du royaume de Dumocala";;
"STERNE, Laurence";"Les amours de Lucile et";;
"STERNE, Laurence";"Suite et fin de la vie et des opinions de Tristram Shandy, suivies de mélanges, lettres, pensées, bons-mots, & mémoires, traduits de l’anglois de Stern (sic) par M.D.L.B.";;
"STERNE, Laurence";"Nouveau voyage en France, suivi de l’Histoire de Le Fèvre et d’un choix de lettres familières du même auteur";;
"STERNE, Laurence";"Voyage sentimental par M. Stem (sic), sous le nom d’Yorick, traduit de l’anglois par M. Frénais";;
"STERNE, Laurence";"La vie et les opinions de Tristram Shandy, traduites de l’anglois de Stem (sic) par M. Frenais";;
"STERNE, Laurence";"Suite de la vie et des opinions de Tristram Shandy traduites de l’anglois de Stem";;
"STETTEN, Paul von";"Lettres d’une femme du quatorzième siècle traduites de l’allemand, ornée de très-belles figures gravées en taille-douce";;
"STEVENS, John";"La nouvelle femme ou histoire de miss Jenny Westbury, imitée de l’anglois";;
"STICOTTI, Antoine-Fabio";"Les soupirs d’Euridice aux Champs-Elysées, par l’auteur de Garrick ou les acteurs anglois";;
"SUREMAIN, Louise-Marie Melchior";"Ardent ou les aventures plaisantes d’un incroyable, parM'.""e S***";;
"SURR, Thomas Skinner";"Bamwell, traduit de l’anglais par Jean-François";;
"t BAGE, Robert";"La constance dans l’adversité ou histoire de James Wallace, traduite de l’anglois";;
"t BRONNER, Franz Xavier";"Idylles et contes de Bronner sur la pêche, traduits de l’allemand, dédiés à madame de Provence, par M. Holerbach";;
"t BROOKE, Henry";"Le fou de qualité, ou histoire de Henry, comte de Moreland, traduit de l’anglois de M. Brooke";;
"t BURKE, Mrs Ann";"Emilie Fairville ou la philosophie du sentiment, par l’auteur d’Ela ou les illusions du coeur, traduit de l’anglais par J.B. Sanchamau";;
"t CARTWRIGHT, Mrs H.";"Le mariage platonique, imité de l’anglais par madame la baronne de Vasse";;
"TACONNET, Toussaint-Gaspard";"Mémoires d’un Frivolité par l’auteur ambulant";;
"TALLEMAND, abbé";"Mémoires de Schach-Tamas II, empereur de Perse, écrits par lui-même & adressés à son fils";;
"TASSO, Torquato, dit le Tasse";"Jérusalem délivrée, nouvelle traduction, dédiée à monseigneur le comte de Vergennes, ministre et secrétaire d’État, ayant le département des Affaires étrangères, et Chef du Conseil royal des finances";;
"TASSO, Torquato, dit le Tasse";"Plaisance Jérusalem délivrée, poëme du Tasse, nouvelle traduction";;
"TASSO, Torquato, dit le Tasse";"Renaud, poème héroïque imité du Tasse, par M. Menu de Chomorceau, président, lieutenant-général au bailliage de Villeneuve-le-Roi";;
"TASSONI, Alessandro";"Le seau enlevé, poeme heroï-satiro-comique, nouvellement traduit de l’italien de Tassoni";;
"TAUPIN D’ORVAL, Jean-Louis-Claude";"Le Jésuite misopogon séraphique ou l’ennemi de la barbe des Capucins par l’alguasil Dom-Diego Balayas y Caramuera";;
"TENCIN, Claudine-Alexandrine Guérin, marquise de et Anne- Louise Dumesnil-Molin, madame ELIE DE BEAUMONT";"Anecdotes de la cour et du règne d’Edouard II, roi d’Angleterre, par Mde L.M.D.T. et Mde E.D.B.";;
"TESSON DE LA GUÉRIE, Jean";"Les amours de Lucile et de Doligny";;
"TEUBERN. Hans Ernest von";"Morville La jarretière ouvrage traduit de l’allemand par mademoiselle M. D. M**»";;
"TEUTON";"Les deux orphelines, histoire angloise";;
"THÉVENEAU DE MORANDE, Charles";"Le portefeuille de madame Gourdan dite la comtesse, pour servir à l’histoire des mœurs du siècle & principalement de celles de Paris, seule édition exacte";;
"THËVENEAU DE MORANDE, Charles";"Vie privée ou apologie de très-sérênissime prince, monseigneur le duc de Chartres, contre un libel diffamatoire écrit en mil sept cent quatre-vingt-un, mais qui n’a point parut à cause des menaces que nous avons faites à l’auteur de le déceler, par une société d’amis du prince";;
"THIARD DE BISSY, comte Henri-Charles de";"Œuvres posthumes du comte de Thiard, publiées, avec son éloge historique, par P.A.L. Maton (de-la-Varenne), éditeur du nouveau Siècle de Louis XV, auteur du Discours préliminaire et des notes de ce dernier ouvrage, de Valdeuil, de Camille et Formose, etc.";;
"THIERY";"Le voyage des Muses, allégorie pour madame de Saint-Huberty, par M. Yreilit";;
"THIROUX D’ARCONVILLE, Marie-Geneviève-Charlottc Darius, madame";"L’amour éprouvé par la mort ou lettres modernes de deux amans de vieille roche";;
"THIROUX D’ARCONVILLE, Marie-Geneviève-Charlotte";;;
"THIROUX D’ARCONVILLE, Marie-Geneviève-Charlotte Darius, madame";"Mémoires de mademoiselle de Valcourt";;
"Thomasscau, dit";;;
"THOMASSEAU DE CURSAY, abbé Jean-Marie-Joseph";;;
"THOMASSEAU DE CURSAY, abbé Jean-Marie-Joseph Thomasseau, dit";"Les deux frères angevins";;
"THOREL DE CAMPIGNEULLES, Charles-Claude Florent de";"Le nouvel Abailard ou lettres d’un singe au docteur Abadolfs, traduites de l’allemand";;
"THOREL DE CAMPIGNEULLES, Charles-Claude Florent de";"Candide, ou l’Optimisme, traduit de l’allemand de Mr.le Docteur Ralph. Seconde partie";;
"THOREL DE CAMPIGNEULLES, Charles-Claude Florent de";"Dialogues moraux de M. de C***, suivis de l’Histoire d’un baron picard";;
"THOREL DE CAMPIGNEULLES, Charles-Claude Florent de";"Le temps perdu ou histoire de M. de C***";;
"THOREL DE CAMPIGNEULLES, Charles-Claude-Florent de";"Nouveaux essais en différents genres de littérature";;
"THOREL DE CAMPIGNEULLES. Charles-Claude Florent de";"Anecdotes morales sur la fatuité, suivies de recherches & de réflexions critiques sur les petits-maîtres anciens et modernes";;
"THÜMMEL, Moritz August von";"Wilhelmine, poème héroï-comique, traduit de l’allemand de M. de Thümmel par M. Huber Leipzig, chez les héritiers de Weidmann et";;
"TIPHAIGNE DE LA ROCHE, Charles-François";"Sanfrein ou mon dernier séjour à la campagne";;
"TIPHAIGNE DE LA ROCHE, Charles-François";"Amilec ou la graine d’hommes";;
"TIPHAIGNE DE LA ROCHE, Charles-François";"Giphantie";;
"TIPHAIGNE DE LA ROCHE, Charles-François";"Histoire des Galligènes ou mémoires de Duncan";;
"TIPHAIGNE DE LA ROCHE, Charles-François";"Bigarrures philosophiques";;
"TIPHAIGNE DE LA ROCHE, Charles-François";"n Amilec ou la graine d’hommes qui sert à peupler les planètes, par L’A. D. P***. Troisième édition, augmentée très considérablement";;
"TOMLINS, Elizabeth Sophia et Sophia LEE";"La victime de l’imagination ou l’enthousiaste de Werther, traduit de l’anglais";;
"TOURNEMINE, René-Joseph de";"Daphnis et Chloé, poème en six chants, traduit de la langue celtique, parM. B*****";;
"TOURNON, Alexandre, dit";"Tournon de La Chapelle Histoire de mademoiselle de Sirval ou le triomphe du sentiment, par M. Tournon, de l’Académie d’Arras";;
"TOUSTAIN-RICHEBOURG, Charles Gaspard de Toustain, vicomte de";"Les aventures d’Alcime, suivies de l’Histoire d’Hyacinthe et de quelques poésies fugitives";;
